cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s1|r50|PRED_SHARED|c2,ecom,1,50,PRED_SHARED,2,0.0103,0.0103,50,5.198216,2.65985,0.057282,0.110399,0.110399,0.057282,0.110399,C,0.92729,0.92729,0.92729,0.0,89.74813,45.43447,0.011,0.0215,1.0,1.9273,90.7481,46.4345,206,20000,10300,206,412,2011724,41250,1,"{""EAGER"": 0, ""LATE_PERSIST"": 49, ""PER_QUERY"": 1}",13.4,13.4
ecom|s1|r50|PRED_SHARED|c4,ecom,1,50,PRED_SHARED,4,0.0103,0.0103,50,9.73528,4.9793,0.103836,0.203342,0.203342,0.103836,0.203342,C,0.9583,0.9583,0.9583,0.0,92.75667,46.95369,0.0107,0.0209,1.0,1.9583,93.7567,47.9537,412,40000,20600,412,824,3727256,76412,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
ecom|s1|r50|PRED_DISTINCT|c1,ecom,1,50,PRED_DISTINCT,1,0.00989,0.3917,50,2.599684,1.283837,1.020954,1.069729,1.069729,1.020954,1.069729,C,0.04777,0.04777,0.04777,0.0,1.54633,0.25749,0.3927,0.7952,1.0,1.0478,2.5463,1.2575,3917,10000,4943,3917,4106,1058958,435089,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2114.25
ecom|s1|r50|PRED_DISTINCT|c2,ecom,1,50,PRED_DISTINCT,2,0.00989,0.3917,50,5.198216,2.565189,2.039122,2.136749,2.136749,2.039122,2.136749,C,0.04788,0.04788,0.04788,0.0,1.54924,0.25799,0.3923,0.7949,1.0,1.0479,2.5492,1.258,7834,20000,9886,7834,8212,2011724,826596,13,"{""EAGER"": 0, ""LATE_PERSIST"": 42, ""PER_QUERY"": 8}",13.4,4302.1
ecom|s1|r50|PRED_DISTINCT|c4,ecom,1,50,PRED_DISTINCT,4,0.00989,0.3917,50,9.73528,4.801654,3.816936,4.086466,4.086466,3.816936,4.086466,C,0.07061,0.07061,0.07061,0.0,1.55055,0.25799,0.3921,0.7949,1.0,1.0706,2.5505,1.258,15668,40000,19772,15668,16784,3727256,1565262,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8119.8
ecom|s1|r50|PRED_NESTED|c1,ecom,1,50,PRED_NESTED,1,0.01036,0.0212,50,2.599684,1.341391,0.059038,0.060573,0.060573,0.059038,0.060573,C,0.026,0.026,0.026,0.0,43.03438,21.72096,0.0227,0.044,1.0,1.026,44.0344,22.721,212,10000,5178,212,218,1058958,23071,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,304.65
ecom|s1|r50|PRED_NESTED|c2,ecom,1,50,PRED_NESTED,2,0.01036,0.0212,50,5.198216,2.680486,0.114107,0.117177,0.117177,0.114107,0.117177,C,0.0269,0.0269,0.0269,0.0,44.55555,22.49095,0.022,0.0426,1.0,1.0269,45.5555,23.4909,424,20000,10356,424,436,2011724,43822,1,"{""EAGER"": 0, ""LATE_PERSIST"": 49, ""PER_QUERY"": 1}",13.4,609.1
ecom|s1|r50|PRED_NESTED|c4,ecom,1,50,PRED_NESTED,4,0.01036,0.0212,50,9.73528,5.016928,0.210254,0.215998,0.215998,0.210254,0.215998,C,0.02732,0.02732,0.02732,0.0,45.30238,22.86123,0.0216,0.0419,1.0,1.0273,46.3024,23.8612,848,40000,20712,848,872,3727256,81182,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,1134.0
ecom|s1|r50|PRED_OVERLAP|c1,ecom,1,50,PRED_OVERLAP,1,0.00978,0.2177,50,2.599684,1.268918,0.568406,0.583939,0.583939,0.568406,0.583939,C,0.02733,0.02733,0.02733,0.0,3.57364,1.23241,0.2186,0.4479,1.0,1.0273,4.5736,2.2324,2177,10000,4888,2177,2237,1058958,236606,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,1260.75
ecom|s1|r50|PRED_OVERLAP|c2,ecom,1,50,PRED_OVERLAP,2,0.00978,0.2177,50,5.198216,2.533924,1.133558,1.164623,1.164623,1.133558,1.164623,C,0.0274,0.0274,0.0274,0.0,3.58575,1.23537,0.2181,0.4474,1.0,1.0274,4.5858,2.2354,4354,20000,9776,4354,4474,2011724,449475,1,"{""EAGER"": 0, ""LATE_PERSIST"": 49, ""PER_QUERY"": 1}",13.4,2551.9
