cell,scope,reuse,union_share,cap_share,pred_C_beats_A,actual_C_beats_A,correct
ecom|s10|r10|DISJOINT|w2|CAP_10PCT,CAP_10PCT,10,0.6567,0.1,0,1,0
ecom|s10|r10|DISJOINT|w2|CELL,CELL,10,0.6567,0.1,0,0,1
ecom|s10|r10|DISJOINT|w4|WORKLOAD,WORKLOAD,10,0.649,1.0,1,1,1
ecom|s10|r10|DISJOINT|w4|CAP_10PCT,CAP_10PCT,10,0.649,0.1,0,1,0
ecom|s10|r10|DISJOINT|w4|CELL,CELL,10,0.649,0.1,0,1,0
ecom|s10|r10|OVERLAP|w1|WORKLOAD,WORKLOAD,10,0.4313,1.0,1,1,1
ecom|s10|r10|OVERLAP|w1|CAP_10PCT,CAP_10PCT,10,0.4313,0.1,0,1,0
ecom|s10|r10|OVERLAP|w1|CELL,CELL,10,0.4313,0.1,0,0,1
ecom|s10|r10|OVERLAP|w2|WORKLOAD,WORKLOAD,10,0.4305,1.0,1,1,1
ecom|s10|r10|OVERLAP|w2|CAP_10PCT,CAP_10PCT,10,0.4305,0.1,0,1,0
ecom|s10|r10|OVERLAP|w2|CELL,CELL,10,0.4305,0.1,0,0,1
ecom|s10|r10|OVERLAP|w4|WORKLOAD,WORKLOAD,10,0.4455,1.0,1,1,1
ecom|s10|r10|OVERLAP|w4|CAP_10PCT,CAP_10PCT,10,0.4455,0.1,0,1,0
ecom|s10|r10|OVERLAP|w4|CELL,CELL,10,0.4455,0.1,0,0,1
ecom|s10|r10|NESTED|w1|WORKLOAD,WORKLOAD,10,0.1867,1.0,1,1,1
ecom|s10|r10|NESTED|w1|CAP_10PCT,CAP_10PCT,10,0.1867,0.1,0,1,0
ecom|s10|r10|NESTED|w1|CELL,CELL,10,0.1867,0.1,0,0,1
ecom|s10|r10|NESTED|w2|WORKLOAD,WORKLOAD,10,0.1867,1.0,1,1,1
ecom|s10|r10|NESTED|w2|CAP_10PCT,CAP_10PCT,10,0.1867,0.1,0,1,0
ecom|s10|r10|NESTED|w2|CELL,CELL,10,0.1867,0.1,0,0,1
ecom|s10|r10|NESTED|w4|WORKLOAD,WORKLOAD,10,0.1867,1.0,1,1,1
ecom|s10|r10|NESTED|w4|CAP_10PCT,CAP_10PCT,10,0.1867,0.1,0,1,0
ecom|s10|r10|NESTED|w4|CELL,CELL,10,0.1867,0.1,0,0,1
ecom|s10|r50|DISJOINT|w1|WORKLOAD,WORKLOAD,50,0.9956,1.0,1,1,1
ecom|s10|r50|DISJOINT|w1|CAP_10PCT,CAP_10PCT,50,0.9956,0.1,0,0,1
ecom|s10|r50|DISJOINT|w1|CELL,CELL,50,0.9956,0.02,0,0,1
ecom|s10|r50|DISJOINT|w2|WORKLOAD,WORKLOAD,50,0.9954,1.0,1,1,1
ecom|s10|r50|DISJOINT|w2|CAP_10PCT,CAP_10PCT,50,0.9954,0.1,0,0,1
